round,bot1,bot2,score1,score2,apple1,apple2,time
834,1,2,0,1,7,2,13.712
835,1,2,1,0,4,2,8.289
836,1,2,1,0,9,6,31.936
837,1,2,1,0,8,5,23.814
838,1,2,1,0,4,3,9.882
839,1,2,1,0,7,4,25.208
840,1,2,1,0,7,6,24.968
841,1,2,0,1,2,0,5.258
842,1,2,0,1,11,12,49.118
843,1,2,0,1,4,6,17.751
844,1,2,0,1,4,2,11.11
845,1,2,0,1,2,1,8.689
846,1,2,1,0,10,3,25.393
847,1,2,0,1,7,6,32.093
848,1,2,1,0,4,0,4.852
849,1,2,1,0,11,17,60.671
850,1,2,0,1,3,6,16.962
851,1,2,0,1,10,15,55.139
852,1,2,1,0,4,3,26.794
853,1,2,1,0,7,2,22.797
854,1,2,0,1,7,4,21.981
855,1,2,0,1,0,0,3.64
856,1,2,1,0,6,2,15.978
857,1,2,1,0,7,6,23.654
858,1,2,1,0,13,5,29.882
859,1,2,0,1,2,2,19.389
860,1,2,1,0,16,15,58.248
861,1,2,1,0,7,5,24.054
862,1,2,1,0,9,4,31.647
863,1,2,1,0,14,18,71.801
864,1,2,0,1,8,2,21.848
865,1,2,0,1,6,7,26.804
866,1,2,1,0,17,13,55.469
867,1,2,0,1,17,14,62.138
868,1,2,1,0,5,7,25.205
869,1,2,1,0,8,8,29.847
870,1,2,1,0,3,0,4.898
871,1,2,0,1,6,7,20.449
872,1,2,0,1,14,8,47.787
873,1,2,1,0,4,1,4.48
874,1,2,1,0,5,5,22.425
875,1,2,1,0,6,1,14.766
876,1,2,1,0,11,7,32.135
877,1,2,1,0,19,11,66.554
878,1,2,1,0,15,13,47.434
879,1,2,0,1,11,9,40.54
880,1,2,0,1,6,7,25.238
881,1,2,0,0,1,1,3.033
882,1,2,1,0,7,4,28.834
883,1,2,1,0,9,7,31.707
884,1,2,1,0,6,8,33.497
885,1,2,0,1,6,7,28.427
886,1,2,0,1,9,1,23.997
887,1,2,1,0,4,7,15.14
888,1,2,0,1,1,0,3.627
889,1,2,1,0,11,9,45.442
890,1,2,0,1,7,9,25.804
891,1,2,1,0,6,3,15.972
892,1,2,0,1,18,11,49.63
893,1,2,0,1,9,8,34.857
894,1,2,1,0,4,3,12.691
895,1,2,1,0,17,10,54.303
896,1,2,1,0,7,5,25.601
897,1,2,1,0,9,9,28.228
898,1,2,0,1,14,14,58.852
899,1,2,0,1,5,1,10.726
900,1,2,1,0,7,2,18.978
901,1,2,0,1,12,10,46.177
902,1,2,1,0,14,10,42.622
903,1,2,1,0,4,1,12.297
904,1,2,0,0,1,1,3.244
905,1,2,1,0,13,7,28.263
906,1,2,1,0,14,7,46.16
907,1,2,1,0,8,4,29.042
908,1,2,0,1,16,11,52.325
909,1,2,0,1,8,16,55.442
910,1,2,0,1,19,13,58.125
911,1,2,0,1,6,3,20.974
912,1,2,1,0,11,7,45.605
913,1,2,1,0,4,2,10.706
914,1,2,1,0,5,2,18.128
915,1,2,1,0,9,5,32.842
916,1,2,1,0,2,1,5.042
917,1,2,1,0,4,5,17.537
918,1,2,1,0,4,2,16.378
919,1,2,1,0,4,5,33.073
920,1,2,0,1,7,13,29.487
921,1,2,1,0,8,3,14.559
922,1,2,0,1,13,9,46.633
923,1,2,0,1,12,5,36.56
924,1,2,1,0,13,7,30.278
925,1,2,0,1,13,14,67.953
926,1,2,1,0,10,9,44.825
927,1,2,1,0,10,4,24.599
928,1,2,1,0,6,5,27.834
929,1,2,1,0,3,1,6.681
930,1,2,1,0,13,5,31.421
931,1,2,0,1,6,3,14.134
932,1,2,1,0,12,3,33.057
933,1,2,0,1,15,9,47.918
934,1,2,1,0,15,13,43.607
935,1,2,1,0,15,13,60.047
936,1,2,1,0,13,5,27.407
937,1,2,0,1,3,4,14.14
938,1,2,1,0,8,4,18.771
939,1,2,1,0,12,10,35.992
940,1,2,1,0,5,7,26.297
941,1,2,1,0,11,10,52.25
942,1,2,0,0,6,6,22.761
943,1,2,0,1,3,4,13.502
944,1,2,1,0,7,9,26.86
945,1,2,1,0,11,8,32.881
946,1,2,1,0,8,9,24.004
947,1,2,1,0,5,2,7.888
948,1,2,0,1,7,10,26.637
949,1,2,0,1,1,2,5.438
950,1,2,0,1,13,8,47.622
951,1,2,1,0,11,3,32.485
952,1,2,1,0,12,5,28.49
953,1,2,1,0,17,10,41.945
954,1,2,1,0,10,14,42.55
955,1,2,0,0,7,7,23.016
956,1,2,1,0,6,3,12.496
957,1,2,1,0,11,11,54.284
958,1,2,1,0,14,10,40.595
959,1,2,0,1,26,13,69.362
960,1,2,1,0,10,6,31.523
961,1,2,0,1,4,3,13.544
962,1,2,1,0,8,7,20.789
963,1,2,0,1,11,6,37.311
964,1,2,1,0,16,12,58.678
965,1,2,1,0,14,6,37.936
966,1,2,1,0,3,2,4.698
967,1,2,0,1,3,3,12.155
968,1,2,0,1,6,7,24.974
969,1,2,1,0,6,2,11.507
970,1,2,0,1,0,0,3.665
971,1,2,1,0,8,7,28.895
972,1,2,0,1,11,9,40.955
973,1,2,0,1,9,8,38.942
974,1,2,0,1,13,7,36.483
975,1,2,1,0,2,6,13.982
976,1,2,1,0,3,2,15.763
977,1,2,1,0,6,3,17.81
978,1,2,1,0,25,17,97.903
979,1,2,1,0,25,14,79.862
980,1,2,0,1,10,9,41.345
981,1,2,0,1,5,3,11.138
982,1,2,0,1,14,10,49.004
983,1,2,0,1,4,5,16.044
984,1,2,1,0,9,5,42.375
985,1,2,0,1,0,2,5.08
986,1,2,0,0,3,3,9.288
987,1,2,1,0,7,7,23.616
988,1,2,1,0,8,7,25.515
989,1,2,1,0,7,3,18.809
990,1,2,0,1,6,0,15.375
991,1,2,0,1,3,2,6.274
992,1,2,1,0,12,14,45.75
993,1,2,1,0,8,3,25.873
994,1,2,1,0,8,9,36.496
995,1,2,0,1,3,4,16.354
996,1,2,1,0,10,9,32.803
997,1,2,0,1,2,3,14.793
998,1,2,0,1,3,6,21.829
999,1,2,1,0,11,7,35.975
